iter	Passed	Remaining
0	11	11881
1	14	7361
2	23	7804
3	28	7192
4	32	6409
5	35	5929
6	39	5594
7	40	5081
8	44	4880
9	46	4596
10	49	4483
11	53	4373
12	57	4384
13	61	4304
14	64	4235
15	68	4187
16	72	4169
17	75	4117
18	78	4064
19	82	4052
20	86	4027
21	87	3879
22	90	3864
23	94	3839
24	97	3815
25	101	3808
26	105	3787
27	108	3774
28	112	3756
29	115	3749
30	119	3733
31	122	3713
32	126	3700
33	130	3702
34	133	3688
35	137	3673
36	139	3623
37	142	3610
38	146	3608
39	149	3590
40	152	3577
41	156	3569
42	159	3551
43	164	3575
44	168	3572
45	172	3569
46	175	3559
47	180	3586
48	186	3615
49	191	3642
50	196	3656
51	202	3682
52	208	3718
53	211	3707
54	213	3662
55	216	3651
56	219	3639
57	225	3665
58	229	3654
59	232	3644
60	236	3634
61	242	3665
62	246	3671
63	251	3682
64	257	3702
65	261	3705
66	265	3695
67	270	3712
68	275	3720
69	279	3719
70	284	3728
71	289	3730
72	293	3729
73	298	3734
74	304	3753
75	308	3753
76	313	3758
77	318	3769
78	323	3773
79	328	3773
80	333	3785
81	339	3797
82	344	3805
83	349	3811
84	354	3812
85	359	3816
86	365	3830
87	369	3832
88	377	3861
89	383	3873
90	387	3866
91	391	3860
92	397	3878
93	401	3868
94	405	3864
95	411	3877
96	415	3870
97	420	3872
98	425	3871
99	429	3865
100	434	3863
101	439	3867
102	445	3881
103	450	3882
104	455	3878
105	459	3877
106	464	3875
107	469	3875
108	474	3882
109	479	3878
110	483	3874
111	488	3870
112	493	3875
113	498	3876
114	504	3882
115	509	3882
116	517	3902
117	521	3900
118	526	3898
119	533	3912
120	540	3928
121	547	3937
122	558	3983
123	563	3979
124	568	3982
125	573	3976
126	577	3972
127	584	3979
128	588	3975
129	593	3973
130	598	3972
131	603	3966
132	607	3962
133	612	3958
134	618	3964
135	623	3959
136	627	3951
137	632	3953
138	637	3948
139	642	3943
140	647	3947
141	652	3944
142	657	3939
143	663	3943
144	668	3940
145	672	3935
146	679	3940
147	683	3936
148	689	3939
149	695	3940
150	700	3937
151	704	3931
152	711	3939
153	718	3948
154	726	3959
155	741	4012
156	753	4047
157	762	4061
158	769	4072
159	778	4087
160	785	4094
161	796	4121
162	806	4143
163	811	4134
164	817	4136
165	825	4146
166	830	4144
167	838	4153
168	843	4149
169	849	4148
170	859	4164
171	864	4163
172	872	4171
173	879	4172
174	888	4188
175	894	4188
176	903	4199
177	909	4202
178	918	4214
179	926	4219
180	934	4228
181	941	4231
182	950	4243
183	959	4253
184	1003	4418
185	1021	4471
186	1038	4517
187	1046	4519
188	1059	4546
189	1082	4612
190	1089	4615
191	1097	4616
192	1104	4617
193	1112	4622
